ID,Category,Description,Nickname
GzeqPaperPfReason,DGCNGDB,钢轧二期_简报_成品判废原因,GzeqPaperPfReason
GzeqPaperBtDescDb,TGMESDB,钢轧二期_简报_大棒表探明细,GzeqPaperBtDescDb
GzeqPaperBtDescZb,TGMESDB,钢轧二期_简报_中棒表探明细,GzeqPaperBtDescZb
GzeqPaperBtRate,TGMESDB,钢轧二期_简报_表探合格率,GzeqPaperBtRate
GzeqPaperBtRateDl,TGMESDB,钢轧二期_简报_电炉表探合格率,GzeqPaperBtRateDl
GzeqPaperBtRateLg,TGMESDB,钢轧二期_简报_炼钢表探合格率,GzeqPaperBtRateLg
GzeqPaperBtRateZl,TGMESDB,钢轧二期_简报_转炉表探合格率,GzeqPaperBtRateZl
GzeqPaperIndicator,TGMESDB,钢轧二期_简报_关键指标,GzeqPaperIndicator
GzeqPaperIndicatorException,TGMESDB,钢轧二期_简报_关键指标异常,GzeqPaperIndicatorException
GzeqPaperMixed,TGMESDB,钢轧二期_简报_夹杂不合格,GzeqPaperMixed
GzeqPaperTsBhg,TGMESDB,钢轧二期_简报_内探不合格,GzeqPaperTsBhg
GzeqPaperTsRate,TGMESDB,钢轧二期_简报_内探合格率,GzeqPaperTsRate
GzeqPaperWarn,TGMESDB,钢轧二期_简报_报警推送,GzeqPaperWarn
GzeqPaperXnFirst,TGMESDB,钢轧二期_简报_性能初样,GzeqPaperXnFirst
GzeqPitCoolingPitNumberQuery,TGMESDB,智慧质量_大棒_缓冷坑按坑号查询,GzeqPitCoolingPitNumberQuery
GzeqDefectReason,ERPZSDB,钢轧二期_简报_缺陷原因,GzeqDefectReason
GzeqPaperStayYesterday,ERPZSDB,钢轧二期_简报_生产暂留,GzeqPaperStayYesterday
GzeqPaperStayYesterdayDesc,ERPZSDB,钢轧二期_简报_生产暂留明细,GzeqPaperStayYesterdayDesc
DGCNGDB_GzeqPaperPfReason,DEFAULT,钢轧二期_简报_成品判废原因,DGCNGDB_GzeqPaperPfReason
ERPZS_GzeqDefectReason,DEFAULT,钢轧二期_简报_缺陷原因,ERPZS_GzeqDefectReason
ERPZS_GzeqPaperStayYesterday,DEFAULT,钢轧二期_简报_生产暂留,ERPZS_GzeqPaperStayYesterday
ERPZS_GzeqPaperStayYesterdayDesc,DEFAULT,钢轧二期_简报_生产暂留明细,ERPZS_GzeqPaperStayYesterdayDesc
TGMESDB_GzeqPaperBtDescDb,DEFAULT,钢轧二期_简报_大棒表探明细,TGMESDB_GzeqPaperBtDescDb
TGMESDB_GzeqPaperBtDescZb,DEFAULT,钢轧二期_简报_中棒表探明细,TGMESDB_GzeqPaperBtDescZb
TGMESDB_GzeqPaperBtRate,DEFAULT,钢轧二期_简报_表探合格率,TGMESDB_GzeqPaperBtRate
TGMESDB_GzeqPaperBtRateDl,DEFAULT,钢轧二期_简报_电炉表探合格率,TGMESDB_GzeqPaperBtRateDl
TGMESDB_GzeqPaperBtRateLg,DEFAULT,钢轧二期_简报_炼钢表探合格率,TGMESDB_GzeqPaperBtRateLg
